"Jurisdiction","State","Year","Week","Death_Count","Period","Avg_No_Deaths","Variance_2015_2019_2020","Perc_Diff_2015_2019_2020"
"Arizona","AZ","2023",19,133,"2023",108,34,31.7
"Alabama","AL","2020",53,132,"2020",69,22,20.6
"Arizona","AZ","2020",12,114,"2023",95,11,10.9
"Alabama","AL","2020",28,117,"2020",102,27,27
"Alabama","AL","2023",5,96,"2020",93,-7,-8.2
"Alabama","AL","2021",17,104,"2020",132,30,46.9
"Alabama","AL","2021",43,101,"2020",119,19,25
"Arizona","AZ","2020",22,139,"2022",48,37,37.2
"Arizona","AZ","2021",17,96,"2021",109,-3,-2.3
"Arizona","AZ","2020",13,130,"2021",80,27,25.9
"Arkansas","AR","2023",5,66,"2020",88,6,13
"Arizona","AZ","2020",52,148,"2021",124,45,52.3
"Alabama","AL","2023",15,90,"2023",90,5,5.6
"Alabama","AL","2020",15,122,"2020",120,33,46.9
"Arkansas","AR","2023",13,61,"2023",138,14,29.5
"Arizona","AZ","2023",8,117,"2023",48,18,17
